,PacketsSent,PacketsSentFLC,PacketsSentRO,PacketsReceived,PacketsReceivedFLC,PacketsReceivedRO,PacketsLost(%),PacketsLostFLC(%),PacketsLostRO(%),Jitter,JitterFLC,JitterRO,Latency,LatencyFLC,LatencyRO,PowerConsumed(W),PowerConsumedFLC(W),PowerConsumedRO(W)
T1,1259.0,1314.0,1266.0,1252.0,1307.0,1258.0,0.5559968228752978,0.532724505327245,0.631911532385466,0.006021878337925228,0.0074505735500100005,0.0070211255649207495,0.01160089901489835,0.022717320449779803,0.012244930394353115,4.557584210840294,2.5512237475612967,2.635568955755336
T2,1690.0,1775.0,1696.0,1682.0,1756.0,1652.0,0.47337278106508873,1.0704225352112675,2.5943396226415096,0.006787964499747686,0.005259661064255081,0.006881558567855101,0.0137605722258645,0.020709061235110956,0.017515745986943873,4.571533291625167,2.5566648003152066,2.6603476941948734
T3,3997.0,4192.0,4137.0,3930.0,4139.0,4095.0,1.676257192894671,1.2643129770992367,1.015228426395939,0.009817646636149441,0.010784323919324625,0.012303403385456432,0.025716642262725,0.0396924851460875,0.020865981085442128,4.620351184848085,2.5885284838287967,2.6898498350289173
T4,5046.0,4810.0,5017.0,4960.0,4705.0,3372.0,1.7043202536662703,2.182952182952183,32.788519035280046,0.013617839149860016,0.00829760934178186,0.007762380678447233,0.033383084215954276,0.05907926872394794,0.03345170983287438,4.662324405606375,2.6143706968058797,2.659568078255044
T5,12997.0,13072.0,12645.0,12650.0,12743.0,12059.0,2.6698468877433252,2.516829865361077,4.6342427837089755,0.010808034848998586,0.02085370858858182,0.006910352405205066,0.06501790632546488,0.09206888918232654,0.05914940525473538,4.882016030536958,2.732880590710624,2.822865449218413
T6,20096.0,20428.0,18071.0,19100.0,19422.0,17212.0,4.9562101910828025,4.92461327589583,4.753472414365558,0.017363554349487782,0.008266556206592574,0.013947598542107356,0.07053702514373636,0.1006795834145267,0.08985175341385342,4.944371813706789,2.8104361552774586,2.856533114412961
T7,51775.0,51023.0,51137.0,49288.0,48708.0,48661.0,4.803476581361661,4.537169511788801,4.841895300858479,0.2459085752609315,0.0181618813959358,0.024330928502506666,0.26444820550863374,0.17532264233635497,0.1703671980319684,5.380626571688879,3.038839123936835,3.281457050797879
T8,38126.0,41098.0,40016.0,37142.0,39920.0,39147.0,2.58091591040235,2.8663195289308483,2.1716313474610156,0.016313678819157025,0.025987315195847183,0.0755243774021777,0.08551785582897287,0.12895170106071102,0.16596719136217053,4.984046544384671,2.8408862252861655,2.914495602958171
T9,77169.0,79493.0,77986.0,74421.0,76235.0,74510.0,3.5610154336585933,4.098474079478696,4.457210268509733,0.01912703083396716,0.08024609174029831,0.018259787326579287,0.20415151586074728,0.26521839738520164,0.20461702643580212,5.521837029544793,3.2090755293960003,3.3023079407372884
T10,67639.0,67319.0,63565.0,64614.0,64757.0,34232.0,4.47227191413238,3.8057606322137882,46.14646424919374,0.014710489083379198,0.032812025295378036,0.018161147972816826,0.12309612089261243,0.13399379646617043,0.11006952019859788,5.2783938122079155,3.086858062633216,2.979871217296879
